mass_1 mass_2 luminosity_distance dec ra psi phase theta_jn geocent_time
24.21287 28.52999 1886.514 -0.03888526 5.257181915184191 3.700813 2.232483 1.831354 1126051222
39.55739 44.50549 1159.633 0.7436306 1.6583182369608451 3.485677 1.699313 0.6940988 1126053231
57.23814 14.52552 2412.121 0.04073184 1.1866380470996276 5.155243 5.484009 1.831394 1126055225
18.05144 19.52752 2451.894 0.3826607 0.6000030713143545 2.729422 0.5480922 0.8642564 1126057228
62.79755 48.22314 1172.081 0.5822855 5.921527982273545 0.6352183 2.708348 1.605204 1126059225
60.47844 13.13833 972.6458 -0.1530414 6.192124216488736 3.811992 2.187344 1.015237 1126061226
54.28782 37.37578 1880.629 0.00164187 1.479580095455681 3.672152 0.3349948 1.85496 1126063239
36.79768 30.8847 1761.121 0.3160281 0.7661201833502176 1.14601 1.86616 1.130597 1126065217
47.19461 7.70874 1967.272 0.7948512 3.183239143032047 3.547798 4.472872 1.542159 1126067219
42.69895 41.54275 2433.754 0.8826835 4.5145224423571975 3.406777 3.752862 0.8689131 1126069220
39.61712 24.47834 1885.262 -0.05557154 1.1719093036912867 4.644742 4.677267 1.377638 1126071228
32.73634 8.439623 1874.588 -0.4079169 3.151452600398848 3.983941 1.874611 2.674421 1126073229
8.689056 22.28471 2366.589 0.7273207 5.076430679265691 4.67959 0.247517 1.819121 1126075241
41.40554 33.66019 1109.354 -0.9535244 0.3838347965751794 3.014206 2.60882 2.754344 1126077221
34.60818 18.72135 901.343 -0.2967319 1.7380628289351492 4.257832 2.963645 2.141209 1126079225
48.28776 54.50557 2302.206 -1.032683 4.085038606800886 3.909819 1.54353 2.444872 1126081219
42.95551 7.174832 2240.089 -0.1145192 4.1595604190037605 1.630417 3.862885 1.980814 1126083225
11.10695 9.059248 882.5975 0.2789867 0.8915852461318039 0.9555675 4.545344 1.634409 1126085224
19.93361 37.02782 1772.843 0.3474096 0.2378297739343651 5.058352 3.576162 2.029587 1126087227
57.72852 14.62776 2343.295 -0.07273726 1.1328856773865894 0.3481412 3.784514 2.271324 1126089220
9.79845 47.48188 1183.452 -0.133849 1.8761256692918735 1.647782 1.782162 2.253428 1126091222
64.57724 15.48347 1868.245 -0.8455465 0.10218476036986601 4.768049 2.712989 1.764944 1126093237
50.78372 38.17456 2305.379 -0.5591339 0.17217513742814106 0.2236355 1.137375 2.398368 1126095224
28.3826 15.59723 2073.752 0.535733 4.132419138633345 2.416107 1.550777 1.414138 1126097231
58.25747 19.44139 1728.511 -1.0614 5.817785406539265 3.867973 5.074259 2.577979 1126099221
13.07936 5.105082 2181.603 0.01286125 1.129349442533723 2.961264 1.162349 1.652181 1126101231
40.11638 29.85033 2312.05 1.085978 2.668342500178774 0.8041913 5.696 1.412132 1126103233
58.17952 41.04981 1491.542 0.1598622 4.001592980955543 0.2882819 1.618821 2.230417 1126105236
58.61212 53.80745 1806.903 -0.7159051 1.7240278484388654 1.073458 4.605783 1.641492 1126107238
16.23161 20.20356 2493.473 -0.8762096 5.97359396467386 1.850795 1.109786 1.20004 1126109232
24.40355 49.44736 2341.896 0.5546471 1.994307983943301 2.104689 3.040137 2.537601 1126111231
20.91795 23.99327 2403.9 -0.542704 0.5754600133515595 2.132859 4.776376 0.7023046 1126113236
43.34213 33.21805 1582.442 -0.1819779 2.627053628646692 0.4663238 4.520587 1.472773 1126115234
61.60204 37.35951 1866.782 -1.18029 4.449228820212234 5.266244 5.791844 2.281075 1126117238
31.66257 44.03297 2340.247 0.08409382 1.875442542281391 1.98635 4.208437 2.507737 1126119230
7.570779 19.70108 1620.626 1.312897 0.8851942436305507 2.197263 1.543532 0.6118662 1126121226
62.26653 30.08534 1375.901 -0.02547885 3.638000664835495 2.710783 4.507549 1.588297 1126123234
24.26953 25.92668 2045.464 -0.2309316 5.193574623826358 1.93211 1.823861 2.205509 1126125231
52.40324 40.59665 1822.291 0.07871397 1.1497444566195298 3.784508 2.340946 0.9976995 1126127233
34.48112 3.531432 2286.348 0.7375226 1.7870408283344403 0.3134963 0.5163053 2.60885 1126129235
38.21651 9.201427 1205.026 -0.8383875 2.160496397118706 5.118279 1.56478 2.466936 1126131227
34.16068 46.11721 2002.34 -0.8964842 3.858958473662071 5.750981 0.966247 1.404044 1126133232
44.36781 23.30124 1837.612 0.2647216 1.3881637294254432 0.3332601 1.468638 2.167789 1126135234
7.167897 44.77219 1046.297 -0.3312815 6.056964871658643 4.30843 1.236052 2.408181 1126137227
29.22082 37.07337 1200.361 -0.5791901 6.029648243227207 4.836574 2.852371 2.75618 1126139239
57.66914 25.58447 1359.04 -0.540186 4.084036360596812 3.523275 4.384584 1.763067 1126141225
8.277419 20.38758 2379.405 0.7495087 2.122168519723502 1.24678 2.998875 1.792285 1126143226
57.03386 11.77677 1620.028 0.4499275 5.620339065364028 1.193685 3.328099 0.9309609 1126145235
14.8772 50.14662 2077.128 0.6011813 5.5153798415953545 6.133902 4.665214 1.684975 1126147219
50.231 7.38486 1624.508 -0.2224892 4.3821344142199194 3.817756 2.518948 2.331758 1126149240
54.26881 3.539289 1216.29 -1.074413 1.0596500761459282 1.855078 4.168725 2.168422 1126151222
15.79515 46.53514 2445.798 -0.03780222 0.6122163344700056 2.302379 0.6805443 0.8272527 1126153223
13.13323 9.527819 2100.482 0.3998653 4.935775482314213 0.3847253 1.202791 2.185856 1126155227
56.99032 30.771 1347.725 -0.9485228 1.0049512696424898 5.499253 3.672404 1.362793 1126157232
45.11927 42.01559 1439.741 0.2024777 3.755640273826586 5.584727 2.859581 0.5374093 1126159226
41.73651 47.17748 2462.357 -0.1978176 2.2325308350556696 2.826034 1.849444 1.371588 1126161233
62.62376 48.52312 1851.928 -0.4954704 4.186636536003945 5.862212 6.19452 2.839684 1126163217
54.39247 6.851583 2326.316 -0.159612 4.913051341340335 2.507592 3.793848 1.724051 1126165234
12.65391 39.53275 1457.288 1.012227 5.946574468413175 5.355893 0.7928134 1.087433 1126167226
45.37389 11.30371 1490.134 0.5257275 4.117297799152013 5.364659 5.917026 0.8796719 1126169236
12.23019 5.848026 694.103 1.001753 4.849634876402135 1.311595 3.481378 2.141514 1126171227
47.21322 41.77913 1342.095 -0.9367692 2.0189123442543604 4.255841 0.8281917 0.8702999 1126173226
30.26238 24.16741 1708.037 0.2983741 1.305080123333184 3.681113 3.268117 1.217338 1126175225
11.44412 41.89557 2023.706 0.2189212 2.1918729899481804 3.921283 4.685053 2.029628 1126177226
28.50362 15.10065 2264.554 -0.5283902 2.398114243318716 1.064969 4.040039 1.00394 1126179226
55.29635 35.26699 1687.031 -0.6911659 2.9587302076253508 2.568865 0.104829 1.350192 1126181231
39.91702 16.74228 2196.717 -1.426759 4.350032334157888 0.96629 0.2384259 1.567666 1126183234
9.270409 20.74501 2172.725 -1.271596 3.6752892029909816 4.148952 3.11628 2.630466 1126185226
35.98824 8.863477 752.0738 0.6201081 1.2251337797978508 6.060368 1.806443 2.653773 1126187229
53.06544 47.71919 1619.531 0.2400029 4.234273588023072 4.697592 2.476537 1.60315 1126189230
56.85349 28.07895 1271.839 -0.01072743 4.794758175310719 5.753691 4.7604 0.2814347 1126191225
34.66358 12.06949 2394.07 -0.4943151 0.42487671749122313 2.288456 0.9607319 1.691449 1126193232
32.39806 38.13612 1860.331 0.3032049 5.078007292933918 0.6633093 4.925717 0.6958563 1126195219
50.54506 4.22916 911.5556 -0.5126033 0.48449979097213003 0.8326861 1.712903 0.4538949 1126197237
61.64896 9.807985 2275.801 -0.4351524 3.9007594116557556 2.157511 1.597857 2.026124 1126199226
53.92014 26.96044 2390.54 -0.4251089 5.077759062158449 4.444184 2.04836 2.316424 1126201234
9.952878 14.08112 2190.07 -0.5734549 1.4801691021320025 1.115013 4.126163 1.287796 1126203232
51.03347 36.18687 1964.715 1.494609 0.7878755951577645 0.9010064 3.941669 1.734837 1126205235
16.66183 11.90332 898.9402 0.2283968 5.313979769111185 4.462401 0.5740837 0.3475714 1126207238
7.642883 33.70874 1856.853 0.7445354 0.7549695524548028 1.062916 1.865251 1.229724 1126209228
63.75352 26.32616 2458.75 -0.6859515 0.45885680280198216 1.791078 0.2123333 0.3241868 1126211241
20.63561 23.38485 1601.294 1.302081 0.007092199758425011 0.5452745 3.515125 0.2783597 1126213228
25.3547 45.42218 2053.371 0.30196 1.861497135459011 2.820745 0.4622339 2.375185 1126215221
58.56416 45.85007 2243.759 0.7542931 5.311689935566548 0.1257521 0.6545596 1.326143 1126217230
19.93446 51.032 1887.473 0.1285401 3.9447705757383105 2.651193 6.159129 1.810164 1126219234
17.28925 5.119283 2200.564 0.4593835 0.7687097399947547 5.32714 0.05330912 2.082332 1126221225
29.24677 26.63644 2115.046 0.6576471 2.062230251661184 3.870217 2.672206 0.7647867 1126223237
6.808967 29.50612 1926.51 0.8070672 5.062793317076441 1.901815 5.586567 1.916365 1126225219
47.11427 10.85386 2071.113 0.008734456 2.595845812557762 1.535606 6.025555 1.329759 1126227238
59.54457 16.16268 2474.336 0.09753844 2.367726355999274 5.434132 0.900176 0.884034 1126229220
48.8764 11.87453 2219.736 0.6517029 5.028450287936877 5.032376 3.697997 1.747331 1126231220
58.77647 23.1773 1794.805 0.07041825 2.6280371750516665 0.5890499 3.819364 1.489199 1126233229
36.0713 13.9126 2293.133 0.4622813 2.46083310056283 0.8065141 0.2233986 2.300766 1126235234
40.38916 34.61612 1325.523 -0.5476472 0.18654574643451127 1.71198 0.4145178 2.518512 1126237231
26.5549 8.083649 1954.675 0.04768844 4.628234462016643 3.951447 4.074341 2.231315 1126239226
43.16478 39.38943 1437.124 -0.07133118 2.3868924386378225 1.862661 1.681499 0.7337465 1126241218
25.99425 52.63834 2097.971 -0.03040431 2.5746730773579642 6.066538 2.465764 2.331059 1126243238
34.18353 31.64925 2027.822 -0.8315278 4.413192735902065 4.297277 1.500149 1.039866 1126245222
45.9865 42.33169 2096.319 -0.9170378 0.0032742973461594715 1.596351 0.2233966 1.548469 1126247219
28.55936 43.12888 2179.005 0.1807428 1.026795025497357 2.819571 0.8608857 2.508449 1126249239
47.90533 49.72108 1209.968 -0.2490006 0.7808706524564499 0.4533023 4.777775 1.412213 1126251226
39.90926 37.59828 1987.415 -0.776307 4.433319906010091 4.351774 2.923135 1.666197 1126253226
54.24255 25.97437 562.0413 1.48641 4.967540633694533 3.666825 0.5688434 1.38878 1126255232
59.37195 28.45202 2482.12 -0.9668074 5.930040087016913 0.4469419 5.143898 1.505795 1126257230
63.83495 44.66256 1270.972 -0.2286808 2.1646294985011068 4.056969 0.6806916 1.24443 1126259228
35.84132 30.17014 2388.321 -0.482338 4.493362637794142 5.906334 3.119993 1.597864 1126261230
39.16369 34.66616 1942.081 1.093113 2.9745139136693055 1.415642 0.8200267 0.8798712 1126263232
48.52283 12.3287 2262.106 -0.7481501 0.6817796845367639 2.089956 2.728065 1.470087 1126265219
17.60857 27.2415 616.4052 -0.360266 5.482065869834422 0.1874114 4.815878 1.266827 1126267224
49.91586 27.83592 1665.35 0.008505447 6.254141380476447 4.698309 1.599821 1.488639 1126269235
19.39658 53.69889 1722.095 -0.4451413 0.321880202530906 0.8080282 5.99162 1.692495 1126271225
56.3524 3.164418 1738.427 -0.08125679 3.5558855110911267 1.128695 2.149001 1.751812 1126273231
54.83997 8.692295 1374.11 1.06443 0.6980035904940678 5.587558 4.909714 2.184038 1126275240
53.53681 18.25923 1963.72 -0.2246486 3.915307634310828 3.231754 1.703953 1.634869 1126277237
53.9808 8.139547 1922.202 0.2126352 2.8908261846708214 5.011729 1.012687 1.903774 1126279221
49.49247 20.05217 2348.904 -0.2565648 4.727314071239469 6.084856 2.106536 2.181314 1126281228
29.00317 26.55397 2216.692 -0.2665022 0.16169817631600836 1.087005 2.586188 0.8880422 1126283240
47.4381 11.98343 2114.627 -1.13613 2.0835754302039504 3.121746 2.771755 1.65277 1126285237
49.76502 49.1969 1795.292 0.09727182 2.3990721166716185 0.5142098 5.182658 0.4352037 1126287237
19.09233 17.31558 1941.865 -1.467696 1.5244789729418926 6.221478 6.169916 1.001687 1126289227
9.594807 21.15092 2469.787 0.3840567 3.8500799168004036 1.0208 4.398286 1.655144 1126291230
30.57268 3.782141 2297.136 -0.1585592 5.319612767537272 3.988861 3.477165 1.305218 1126293230
39.34429 5.442428 1733.439 0.1768118 1.9691882201819908 3.246504 5.186991 1.756117 1126295222
64.40648 28.54534 2037.374 -1.406153 0.48578951267120374 3.99293 0.8012279 1.053907 1126297223
62.9124 40.37673 1975.684 0.6789014 0.5800833427289263 2.039676 2.738263 3.130355 1126299230
29.27027 29.37292 1088.863 -0.8234738 3.0299485126248555 5.548919 5.463512 1.300084 1126301235
42.59999 52.1314 1319.684 1.290426 0.12939720290307832 5.2619 2.989536 1.637981 1126303228
28.9243 20.86241 2346.405 -0.7792111 4.313286132678421 4.771606 0.1982553 0.7169647 1126305226
53.75806 36.12032 2140.778 0.0615997 5.696488590100579 1.037107 2.366938 0.9419363 1126307222
54.55024 12.96725 1460.069 -0.2188403 3.9952593440481223 1.535374 0.8055742 2.432255 1126309228
34.48705 43.144 2388.079 -0.4708269 5.6277221099197945 0.8968916 5.121893 2.334216 1126311236
26.11686 5.878944 2333.462 -0.6373985 4.742270609251953 0.2759702 3.285338 0.4786214 1126313226
35.23218 31.03437 1401.719 -0.6500555 2.4264612478961 0.1999955 4.657257 1.023889 1126315236
7.958863 36.62903 707.2562 -1.162934 2.3633893837774167 0.09109243 5.941455 0.9633799 1126317240
18.98 42.41386 2214.823 1.119494 1.9742071748565877 3.85384 6.119088 0.9754704 1126319223
